Q9Y4A8	F5HF44	-1	0.00016503402049217333
Q8TB37	F5HF44	-1	0.05268162486391111
Q12948	Q69022	-1	0.06373067620500873
O60260	F5HF44	-1	0.011634767337858863
Q96LW9	Q2HR75	-1	0.0008121584268004122
Q9HBB8	Q9QR71	-1	0.007205714523475083
P28067	Q69022	-1	0.00044994682206217886
P61579	Q69022	-1	0.2389603599711829
Q15375	F5HF44	-1	8.19801775156004e-05
P07996	P08393	-1	0.0003690208261659475
O76082	Q2HR75	-1	0.00012731563973021517
B5ME19	P08393	-1	0.008168711749662695
O15527	P08393	-1	0.06377248318718594
Q86UW1	F5HF44	-1	0.00027116848553299474
O75419	Q9QR71	-1	0.13303736748500467
P38570	P08393	-1	0.004371411070277246
P18124	Q2HR75	-1	0.6007908704699786
A6NGE4	Q2HR75	-1	0.0010768075185566136
Q86UY6	F5HF44	-1	0.002666741151605578
Q9UBT3	F5HF44	-1	0.0013567099218410364
Q9Y6A5	Q69022	-1	0.008692535127305194
P49286	P08393	-1	0.0017838331727703135
A6NMS7	F5HF44	-1	0.00010778799389529582
P57771	Q9QR71	-1	0.11014674939648308
O75751	F5HF44	-1	0.00012926347807380614
Q9H813	F5HF44	-1	0.06160026058784845
P46782	F5HF44	-1	0.09304723371358535
Q9BYH8	Q2HR75	-1	0.04315312710964609
P20290	Q2HR75	-1	0.6188753762252718
Q9NPA2	Q69022	-1	0.00012290651581109495
Q6ZW61	Q9QR71	-1	0.005105602547732373
Q8N5U0	Q2HR75	-1	0.00032658294179870886
P49281	Q2HR75	-1	0.0004884106620134493
Q08116	Q2HR75	-1	0.0014835666936293338
O43638	P08393	-1	0.007620559675595209
Q5TAT6	Q69022	-1	0.00013324180838048417
Q86XM0	P08393	-1	0.002830824990506504
P37837	F5HF44	-1	4.662692331231202e-05
Q92854	F5HF44	-1	0.0010413745031402073
Q9UK08	Q2HR75	-1	0.0057863372614206975
Q9H346	Q9QR71	-1	0.0005586036845346661
